"ProlificID","Duration (in seconds)","Gender","FirstGen","FirstGen_US","1st_immigrant","1st_age","2nd_immigrant","HighestDegree","Major","Minor","STEMMajor","GPA","M_Approach","M_Avoidance","P_Approach","P_Avoidance","Approach","Avoidance","Math_ID","Reading_ID","Racial_ID","Gender_ID","Condition","Score","AGQ_approach","AGQ_avoidance","Pre_Expectation","Post_Expectation","RIT","Belonging","Centrality","STAI_pre","STAI_post","Control_common","Control_true","Age","mc_task","mc_mathability","mc_diagnostic","task_stressful","Pressure","Comparison","task_opinion","Math_abilities1","Math_abilities2"
"5e9e19d808b9931ef37373c6",162,"Man","Yes","Yes","Yes",2,NA,"Bachelor","Mechanical Engineering","N/A","STEM",3.95,4,3,4.333,2.667,4.167,2.833,4,2.5,3,3.333,"Control",7,3.333,2.667,5,5,2.5,3,3,1.667,2.167,2.8,3.4,29,1,2,2,1,4,"25th percentile",1,1,1
"60b76ee2219ac1ce25ccea43",240,"Man","No","Yes","No",NA,"Yes","Bachelor","Biology BA","None","STEM",3.2,4,2,2.333,1.333,3.167,1.667,3.833,4.167,3,2,"Control",13,2.667,2.333,12,13,1.833,2.333,4,2.167,2.167,3.4,2.2,22,1,2,2,1,4,"75th percentile",3,3,3
"60fd02b7f22f9dd32bff5f82",358,"Woman","Yes","Yes","No",NA,"Yes","Bachelor","English, Neuroscience","N/A","STEM",3.75,4.333,3.333,5,5,4.667,4.167,4,5,4.333,5,"Control",12,3.667,2.333,7,4,3.667,3,4,1.833,1.833,4,3,23,1,2,2,3,3,"50th percentile",3,3,3
"61097b89fdedf0995d90b6c7",215,"Woman","No","No","Yes",0,NA,"Bachelor","Psychology","Applied Psychology","Not STEM",3.3,2.667,2.333,3.333,4.333,3,3.333,2.167,3.167,4,3,"Control",6,3,2,10,5,3.667,3.333,3.667,1.667,1.833,3.6,2.4,21,1,2,2,4,2,"25th percentile",3,1,1
"628e3b1df14fee48e3b118b8",178,"Man","No","No","No",NA,"Yes","HS/GED","Computer Science","Computer Science","STEM",3.6,4.667,4.667,5,4.667,4.833,4.667,3.667,3.833,5,4.333,"Control",12,3.333,2.333,8,9,3.833,1.667,4.667,2.333,2.333,3.2,3.2,21,1,2,2,1,4,"75th percentile",4,5,5
"655ffefb7419ddfad7b18637",241,"Woman","Yes","Yes","Yes",14,NA,"Bachelor","Nursing","none","Not STEM",3.6,4,3.333,4,3.667,4,3.5,3.5,3.833,4,4,"Control",6,3.333,2.667,5,5,3.833,3.333,4,2.5,2.167,3.6,3.6,35,1,2,2,4,4,"25th percentile",3,2,2
"6597691b6cf046f7396fcef4",178,"Man","Yes","No","No",NA,"Yes","Bachelor","Philosophy","Computer Science","STEM",3.13,5,5,2,1.667,3.5,3.333,4.5,4.833,1.667,2.667,"Control",12,2.667,3.333,10,10,1.167,2.667,3,2.333,2.333,3.4,2.8,24,1,1,1,2,4,"75th percentile",3,4,2
"65a4333efc75f965e7fc0cb5",318,"Man","Yes","No","No",NA,"Yes","HS/GED","Inteligient Systems Engineering","n/a","STEM",3.85,3.667,3.333,4,3.667,3.833,3.5,4.667,3.5,4,3,"Control",5,3.333,2.667,7,8,2.667,3,4.333,2.167,2.333,2.8,2.6,18,1,2,2,3,3,"50th percentile",2,2,1
"65cfe535447c871ebe57c939",171,"Woman","Yes","No","No",NA,"Yes","HS/GED","Human Development and Public Relations","N/A","Not STEM",3.65,4,3,3.667,3.333,3.833,3.167,2,4.333,5,5,"Control",8,3.333,1.667,10,8,2.167,2.333,5,2.667,2.333,3.2,2,21,1,2,2,2,4,"50th percentile",3,1,1
"65d594b4198b2fcc568946bd",249,"Woman","No","Yes","Yes",0,NA,"HS/GED","Public Health","N/A","Not STEM",4,4.667,2.333,4.333,4,4.5,3.167,3.667,3.167,2.667,2.667,"Control",10,4,2.667,10,5,1.5,1.333,3.333,2.5,2.5,3.8,2.6,18,1,1,1,4,5,"25th percentile",1,1,1
"65e780d536102c253b9fe5f7",233,"Woman","Yes","Yes","Yes",0,NA,"Bachelor","Information Decision Sciences","N/A","STEM",3.49,3.667,4,4,4.333,3.833,4.167,4.333,3.5,4.333,4,"Control",7,3.333,2.667,14,11,3.5,3,4,2.5,2.5,3.6,3,20,1,2,1,3,4,"75th percentile",3,2,3
"660982bb12941e7442c18325",510,"Man","No","No","No",NA,"Yes","HS/GED","I am planning to major in something tech related.","N/A","Not STEM",2.7,2.667,2.667,2,2,2.333,2.333,1.833,2.333,1.333,1.667,"Control",7,2.333,2.333,5,4,1.167,2.333,2,2.167,2.167,2.6,2,18,1,2,2,1,3,"25th percentile",2,2,2
"6630f10a3f5ea2fb9b5afb71",307,"Woman","Yes","Yes","Yes",2,NA,"Doctorate","biology","n/A","STEM",3.98,5,3.667,5,5,5,4.333,4.833,4.667,3.667,2.667,"Control",7,3.667,3,10,9,4.333,4,3.667,3.667,2.667,3.4,3.4,30,1,2,2,4,5,"75th percentile",4,4,3
"66315878b38cea3df40eb797",492,"Man","Yes","No","Yes",0,NA,"HS/GED","computer programming","computer science","STEM",2.88,3.667,4,3,4,3.333,4,3,3.167,2,2.333,"Control",10,4,3,15,3,3,4,2,2,2,2,2,29,1,2,2,3,1,"10th percentile",2,2,2
"664662d0e586193a0ca4267e",289,"Man","No","No","No",NA,"Yes","HS/GED","psychology","N/A","STEM",3.1,4.667,2,4,2.667,4.333,2.333,2.5,4.167,4.333,3.333,"Control",7,3.333,2.667,3,7,1.667,1.667,3.667,2.167,2.333,3.6,3.4,18,1,2,2,3,2,"25th percentile",1,1,1
"664770af0e8f4c4cc2b8a6e8",322,"Man","No","Yes","Yes",1,NA,"Bachelor","Bioengineering","N/A","STEM",3.1,3,1,4,2.333,3.5,1.667,3,3.833,3.667,3,"Control",7,3.667,3.667,15,9,3.333,2.667,4,2.167,2,2.2,2.8,34,1,2,2,4,1,"50th percentile",2,2,2
"6648bfa5ae62e331540910e4",284,"Man","Yes","Yes","No",NA,"Yes","Bachelor","Chemistry","None","STEM",3.5,3.333,2,3,2.667,3.167,2.333,3.667,3.667,3,2.333,"Control",13,3.333,3.333,7,6,3,1.667,3,1.833,1.5,2.2,2.6,28,1,2,2,2,3,"50th percentile",2,3,3
"664a16dadcc9b3525dd04be1",388,"Woman","Yes","Yes","No",NA,"Yes","Bachelor","Statistics & Educational Psychology","N/A","STEM",3.8,3.333,2.667,1,3,2.167,2.833,2.5,3.333,2.667,3.667,"Control",11,1.667,2.333,5,3,3.5,3,1.667,2.333,2,3,3,23,1,2,2,2,3,"25th percentile",3,2,2
"66550501336446c73dbbb0cf",329,"Man","No","No","No",NA,"Yes","Associate","Microbiology","N/A","STEM",3.4,3,2.667,2.667,2.667,2.833,2.667,2.667,3.833,2.333,2.667,"Control",9,3.333,3,10,8,1.833,4,2.667,2.333,2.333,3.6,2.6,18,1,2,2,3,2,"50th percentile",2,2,2
"665747ab06294778387cd708",168,"Man","No","Yes","Yes",0,NA,"HS/GED","Computer Science","none","STEM",4,3,2.667,4,4.333,3.5,3.5,2.833,2,3,4,"Control",13,3.667,2.333,10,13,2,3.667,3.667,2.167,2.167,3,3,19,1,1,2,3,4,"75th percentile",2,4,2
"665771f4457c84106353a94f",276,"Woman","Yes","No","No",NA,"Yes","HS/GED","Animal Science, concentration of pre-veterinary/pre-medical","N/A","STEM",2.9,4,2.667,3.333,3,3.667,2.833,4.5,2.833,4,3,"Control",10,3,2,10,9,1.833,2,4.667,2.5,2,4.2,3.8,19,1,2,2,2,3,"50th percentile",2,2,2
"665fcf1dd1d2c73b73d9dd95",364,"Woman","Yes","Yes","No",NA,"Yes","Bachelor","Bachelors in Biology & Business Administration and now in Medical School","Chemistry","STEM",3.5,4.667,3,3,3,3.833,3,3.167,3.667,3.333,3,"Control",3,2.333,1.667,7,4,3.833,2,4,2.167,2.167,3.8,3.4,28,1,2,2,4,5,"25th percentile",3,3,4
"66623b50ab69ef83a0d8b6c4",171,"Man","Yes","No","Yes",18,NA,"HS/GED","International Studies","Middle East Studies","Not STEM",3.87,4,3,2,1,3,2,2.333,4.833,2.667,1.667,"Control",15,2.333,3.667,10,7,2.167,3.333,4,2.5,2.5,2.4,2.2,21,1,2,2,3,5,"50th percentile",2,2,1
"6664e08a4c893385b08c5cde",283,"Woman","Yes","Yes","No",NA,"Yes","HS/GED","Psychology","N/A","Not STEM",3.95,5,5,5,5,5,5,4.333,3.167,2.667,4.667,"Control",8,3.667,2.333,5,0,1.167,3,3.667,2,2.333,3.6,2,19,1,2,2,5,5,"10th percentile",1,1,1
"666da112c907f5585554cc51",170,"Woman","Yes","No","Yes",NA,NA,"HS/GED","Economics","Data Science","STEM",4,4,4,4,4,4,4,3.5,3.5,3.333,4,"Control",7,3.667,2.333,6,3,3,3,3,2.167,2.167,3.4,2.8,19,1,2,2,2,4,"50th percentile",3,2,1
"6670695ddda879e28629fbe0",249,"Woman","No","No","Yes",10,NA,"Bachelor","psychology","n/a","Not STEM",3.6,3.667,4,4,4.333,3.833,4.167,3.5,3.5,5,4.333,"Control",6,3.667,3,10,8,2,3.667,5,2,2,3.6,3,30,1,2,2,2,5,"50th percentile",2,2,2
"66709bdd875264ed57d1d15b",333,"Woman","No","Yes","No",NA,"Yes","HS/GED","Art","N/A","Not STEM",3.7,2.667,2.333,3,3.667,2.833,3,3.167,2.833,2.667,3,"Control",11,3.333,2.667,10,8,1.167,3.333,3.333,1.667,1.5,2,1.8,22,1,2,2,3,4,"50th percentile",2,2,1
"6671a8d34477782bfebe4c2c",471,"Man","No","Yes","Yes",3,NA,"Bachelor","aerospace engineering","math","STEM",3.9,3.333,3,3,3.667,3.167,3.333,4,2.333,3.667,2.333,"Control",5,3.333,2.667,15,10,2,3.667,3.667,2.333,2.5,2.8,2.2,20,1,2,2,2,3,"75th percentile",3,2,3
"667202328ae5a13b88528a04",208,"Man","Yes","Yes","Yes",5,NA,"Bachelor","Health Science","None","STEM",3.7,4.667,3.667,5,4.667,4.833,4.167,3.5,4.333,5,5,"Control",8,3.667,2,5,5,3.833,1.333,5,2.5,2.167,4,2.6,21,1,2,2,3,4,"25th percentile",3,3,3
"667c178be91e30ed5781df45",168,"Man","Yes","Yes","Yes",0,NA,"Bachelor","psych","none","STEM",3.27,3.667,3,4,3,3.833,3,4,4.167,3.333,3.667,"Control",9,3.333,3,12,12,2.333,2,3,1.833,2,3.6,3.6,26,1,2,2,3,4,"50th percentile",3,3,4
"667c48d6b75218dcfcb0b93b",248,"Woman","Yes","Yes","No",NA,"Yes","HS/GED","Computer Science","None","STEM",4,4,4,4,4,4,4,4.667,1.5,2.667,4,"Control",8,3.667,2.333,10,5,3.833,4.333,1.667,2,2.333,2.6,2.4,18,1,2,2,3,1,"25th percentile",2,2,1
"667d08e12ac1bcbdd829a936",176,"Woman","Yes","No","No",NA,"No","HS/GED","Psychology","Industrial and organizational psychology","STEM",4,4,3.333,4,4,4,3.667,2.167,3.833,4,3.667,"Control",11,3.333,2.667,5,5,3.333,3,4,2.333,2.167,3.4,2.6,20,1,2,2,2,2,"25th percentile",2,2,2
"667de4a44b72be8e8cf6ab6a",212,"Woman","Yes","Yes","No",NA,"Yes","Associate","Animation","Animation","Not STEM",3.4,5,5,5,5,5,5,3.667,2.833,5,5,"Control",9,3.667,2.333,10,9,3.333,3.333,5,2,2,2.4,2.8,24,1,2,2,2,2,"25th percentile",3,2,3
"668061765e0b5cf3645db29a",227,"Woman","Yes","Yes","No",NA,"Yes","HS/GED","B.S Biology","Chemistry","STEM",3.41,3.333,2.667,3.333,5,3.333,3.833,3.5,4.167,4.333,4.667,"Control",11,2.667,2,10,9,2.5,3.667,4.333,2,2.833,3.2,2,20,1,2,2,4,4,"50th percentile",2,2,2
"66834121446f0105aa25f52f",214,"Man","No","Yes","Yes",4,NA,"Master","Applied Math, Data Science","Comptuer Science","STEM",4,3.667,2,4,4,3.833,3,3.667,3,4,4,"Control",12,3.333,2,10,13,1.667,3.333,3.667,2.167,1.667,4,3,31,1,2,1,4,4,"50th percentile",1,1,1
"6686f3a1254c3edb7c71eb65",228,"Man","Yes","No","No",NA,"Yes","HS/GED","Aerospace Engineering","None","STEM",3.69,4.333,4.667,5,5,4.667,4.833,4.333,2.5,3,4,"Control",14,3.667,2.333,10,10,1.333,3,3,1.667,1.667,2.4,2.2,19,1,2,2,1,4,"75th percentile",3,3,3
"668edf4cd6b065f71b6e7f09",199,"Man","Yes","No","No",NA,"Yes","HS/GED","Computer Science","n/a","STEM",3.89,5,5,3,3.667,4,4.333,4.333,4.333,2.333,2,"Control",7,2.667,2.333,15,14,2.667,2.667,3.667,2,2.333,2.2,2.4,19,2,1,1,1,2,"50th percentile",2,3,3
"668ffdcf805124c37c719cd7",187,"Woman","Yes","Yes","Yes",1,NA,"Associate","Nursing","N/A","STEM",3.8,4.667,4.333,4.667,4.333,4.667,4.333,2.167,4.5,1.667,4.333,"Control",4,3.333,3,7,5,4.333,1.667,3,2.5,2.5,4,3.4,28,1,2,2,3,4,"50th percentile",2,4,3
"6691f9c5388807909bf65db4",199,"Man","No","No","Yes",2,NA,"Bachelor","Computer Engineering","None","STEM",3.37,3.667,2.667,3,3.667,3.333,3.167,2.333,3.5,2.333,3,"Control",10,3,2,10,10,2.5,3.667,3,2.5,2.667,3.2,2.8,20,1,2,1,2,4,"25th percentile",2,2,2
"6694523bfdccd108ee220a9a",377,"Woman","Yes","Yes","Yes",8,NA,"Bachelor","Actuarial Science & Chemistry","N/A","STEM",3.78,5,4.333,4,4.333,4.5,4.333,4.5,2.667,5,5,"Control",5,3.667,2.333,3,7,4.333,3,4.667,2.833,2.833,4,4.4,19,1,2,2,4,4,"25th percentile",4,3,4
"66970cf3abd2bff3e5f602d9",210,"Man","Yes","No","No",NA,"Yes","Bachelor","Computer science, Mathematics","Economics","STEM",3.03,3.333,3.333,3.333,3.333,3.333,3.333,4,3.833,1.333,1,"Control",11,4,3,10,7,2.5,3,2,2.5,1.833,3,2.2,21,1,2,2,2,1,"25th percentile",3,3,2
"66977349fca27ef8b010e60f",239,"Non-binary","No","Yes","Yes",3,NA,"HS/GED","Nursing","n/a","Not STEM",0,4,3.333,3.667,3,3.833,3.167,2.333,4.167,5,2.333,"Control",13,3.333,3,8,8,3.667,2.667,4,2,1.833,3.4,2.6,18,1,1,1,2,5,"50th percentile",2,2,2
